Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
SMAJ5.0ALFCT-ND,LITTELFUSE INC (VA),SMAJ5.0A,,1,0,0,12 Weeks,TVS DIODE 5VWM 9.2VC SMA,,RoHS Compliant,Lead free,Not Available
1.5SMC43AT3GOSCT-ND,LITTELFUSE INC (VA),1.5SMC43AT3G,,1,0,0,,TVS DIODE 36.8VWM 59.3VC SMC,"Part is obsolete, not recommended for new design",RoHS Compliant,Lead free,Unaffected Jun-2016
MM5Z10VT1GOSCT-ND,ON SEMICONDUCTOR (VA),MM5Z10VT1G,,1,0,0,18 Weeks,DIODE ZENER 10V 200MW SOD523,,RoHS Compliant,Lead free,Unaffected Jul-2017
1N4148WXTPMSCT-ND,MICRO COMMERCIAL CO (VA),1N4148WX-TP,,1,0,0,8 Weeks,DIODE GEN PURP 75V 150MA SOD323,,RoHS Compliant,Lead free,Unaffected Jul-2017
497-2496-1-ND,STMICROELECTRONICS (VA),SMLVT3V3,,1,0,0,9 Weeks,TVS DIODE 3.3VWM 10.3VC SMB,No delivery date available,RoHS Compliant,Lead free,Not Available
BZX84C2V4S-FDICT-ND,DIODES INCORPORATED (VA),BZX84C2V4S-7-F,,1,0,0,12 Weeks,DIODE ZENER ARRAY 2.4V SOT363,No delivery date available,RoHS Compliant,Lead free,Unaffected Jul-2017
ATXMEGA16A4-AU-ND,MICROCHIP TECHNOLOGY,ATXMEGA16A4-AU,,1,0,0,13 Weeks,IC MCU 8BIT 16KB FLASH 44TQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
445-17069-1-ND,TDK CORPORATION (VA),MLZ1608N220LT000,,2,0,0,12 Weeks,FIXED IND 22UH 300MA 1.65 OHM,,RoHS Compliant,Lead free,Unaffected Jan-2017
445-6151-1-ND,TDK CORPORATION (VA),GLFR1608T150M-LR,,1,0,0,14 Weeks,FIXED IND 15UH 220MA 900 MOHM,,RoHS Compliant,Lead free,Not Available
MMBT3904FSCT-ND,ON SEMICONDUCTOR (VA),MMBT3904,,5,0,0,31 Weeks,TRANS NPN 40V 0.2A SOT-23,,RoHS Compliant,Lead free,Unaffected Jun-2016
